"","cell","proj_id","treatment","mark","rep","desc","prog","dlink","urltex"
"1","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00001&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00001"
"2","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00002&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00002"
"3","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00003&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00003"
"4","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00004&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00004"
"5","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00005&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00005"
"6","ES-I3","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-I3Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00006&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00006"
"7","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00007&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00007"
"8","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00008&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00008"
"9","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00009&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00009"
"10","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00010&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00010"
"11","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00011&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00011"
"12","ES-WA7","http://egg2.wustl.edu/roadmap/web_portal/meta.html","ES-WA7Cells","PrimaryCulture","CL","BI-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00012&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00012"
"13","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00013&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00013"
"14","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00014&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00014"
"15","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00015&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00015"
"16","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00016&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00016"
"17","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00017&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00017"
"18","H1","http://egg2.wustl.edu/roadmap/web_portal/meta.html","H1Cells","PrimaryCulture","CL","BI,UCSD,UCSF-UBC-lab","MACS-v2.0.10","http://rna.sysu.edu.cn/chipbase/download.php?base_page=chip_seq_browse&assembly=hg38&protein=NA&sample_id=HUMHG00018&Ftype=tab","http://rna.sysu.edu.cn/chipbase/chip_seq_browse.php?organism=human&assembly=hg38&protein=NA&sample_id=HUMHG00018"
